Jahr;Monat;Branche_Code;Branche_Label;Beschaeftigte;BeschaeftigteVeraenderung;Vollzeitbeschaeftigte;VollzeitbeschaeftigteVeraenderung;Teilzeitbeschaeftigte;TeilzeitbeschaeftigteVeraenderung
2015;1;WZ08-55;Beherbergung;94.5;2.3;95.5;-0.6;93.3;6.3
2015;1;WZ08-551;Hotels;94.9;2.4;95.9;-0.7;93.8;6.8
2015;1;WZ08-552;Ferienunterkünfte;92.5;0.3;92.7;1;92.3;-0.4
2015;1;WZ08-553;Campingplätze;71.3;9.9;74.7;2.3;68.5;19.1
2015;1;WZ08-56;Gastronomie;93.2;-1.1;93.4;0.8;93.2;-1.9
2015;1;WZ08-561;Restaurants & Cafes;92.3;-2.4;92.1;0.3;92.4;-3.9
2015;1;WZ08-562;Caterer;95.8;3.5;98.6;3.1;94.4;3.9
2015;1;WZ08-563;Bars & Clubs;94.7;0.1;92.5;0.7;95.3;
2015;2;WZ08-55;Beherbergung;94.3;2.7;95;0.1;93.4;6.3
2015;2;WZ08-551;Hotels;94.7;2.9;95.3;-0.1;94;7.2
2015;2;WZ08-552;Ferienunterkünfte;92.3;-0.4;93.8;2.5;91.3;-2.6
2015;2;WZ08-553;Campingplätze;72.7;8.5;76.8;4.5;69.2;13.4
2015;2;WZ08-56;Gastronomie;94.4;1.4;94;1.3;94.5;1.3
2015;2;WZ08-561;Restaurants & Cafes;93.3;0.5;92.9;1.1;93.5;0.3
2015;2;WZ08-562;Caterer;98.1;4.5;98.9;2.7;97.7;5.5
2015;2;WZ08-563;Bars & Clubs;94.7;1;92;-0.3;95.4;1.3
2015;3;WZ08-55;Beherbergung;96.2;2.9;97.1;0.4;95.1;6
2015;3;WZ08-551;Hotels;96.4;2.9;97.2;0.3;95.4;6.6
2015;3;WZ08-552;Ferienunterkünfte;95.1;0.4;95.5;2.1;94.8;-1
2015;3;WZ08-553;Campingplätze;83;9.8;89.7;4.8;77.4;16.7
2015;3;WZ08-56;Gastronomie;96.7;0.8;96.6;1.2;96.7;0.6
2015;3;WZ08-561;Restaurants & Cafes;96.4;0.4;96.2;0.9;96.5;
2015;3;WZ08-562;Caterer;98.3;3.1;98.9;2.5;97.9;3.4
2015;3;WZ08-563;Bars & Clubs;95.8;;94.8;0.7;96.1;-0.2
2015;4;WZ08-55;Beherbergung;99;2.9;99.4;0.6;98.5;5.9
2015;4;WZ08-551;Hotels;98.9;3.2;99.4;0.7;98.3;6.7
2015;4;WZ08-552;Ferienunterkünfte;99.5;-1.3;97.5;-0.3;100.8;-2.2
2015;4;WZ08-553;Campingplätze;101.9;4.4;105.5;-0.2;98.9;9.9
2015;4;WZ08-56;Gastronomie;99.7;2.2;99.1;0.7;99.9;2.7
2015;4;WZ08-561;Restaurants & Cafes;99.8;1.8;99;0.3;100.3;2.6
2015;4;WZ08-562;Caterer;98.9;4.2;99.7;2.9;98.5;4.8
2015;4;WZ08-563;Bars & Clubs;100.1;0.4;99.1;-0.4;100.3;0.4
2015;5;WZ08-55;Beherbergung;101.8;3;101;-0.1;102.8;7.2
2015;5;WZ08-551;Hotels;101.6;3.4;100.9;;102.6;8.2
2015;5;WZ08-552;Ferienunterkünfte;102.7;-1.5;101;-0.6;103.9;-2.3
2015;5;WZ08-553;Campingplätze;112.8;3.3;112.4;-1.1;113.1;7.5
2015;5;WZ08-56;Gastronomie;102;2.4;101.5;1.3;102.2;2.8
2015;5;WZ08-561;Restaurants & Cafes;102.2;1.8;102;1.1;102.3;2.2
2015;5;WZ08-562;Caterer;100.5;5.1;99.7;2.5;101;6.7
2015;5;WZ08-563;Bars & Clubs;103.1;0.8;101.7;-0.6;103.5;1.2
2015;6;WZ08-55;Beherbergung;102.6;1.8;101.5;-0.2;104;4.3
2015;6;WZ08-551;Hotels;102.3;2.1;101.3;-0.2;103.6;5.1
2015;6;WZ08-552;Ferienunterkünfte;104;-2.5;103.4;-0.6;104.5;-4
2015;6;WZ08-553;Campingplätze;120.2;0.2;116.1;-1.7;123.6;1.6
2015;6;WZ08-56;Gastronomie;103;2.2;102.1;1.3;103.4;2.6
2015;6;WZ08-561;Restaurants & Cafes;103.6;1.8;102.7;0.8;104;2.3
2015;6;WZ08-562;Caterer;100.1;5.5;100.2;3.6;100;6.3
2015;6;WZ08-563;Bars & Clubs;104.3;-0.6;101;-0.9;105.2;-0.4
2015;7;WZ08-55;Beherbergung;103;1.5;101.7;-0.3;104.7;4
2015;7;WZ08-551;Hotels;102.4;1.7;101.3;-0.5;103.9;4.5
2015;7;WZ08-552;Ferienunterkünfte;106.3;-1;105.2;1.3;107.1;-2.8
2015;7;WZ08-553;Campingplätze;129.9;2.1;120.8;-1.1;137.6;4.2
2015;7;WZ08-56;Gastronomie;103.3;2.4;102.7;1.4;103.6;2.8
2015;7;WZ08-561;Restaurants & Cafes;104.3;2;103.8;1;104.5;2.4
2015;7;WZ08-562;Caterer;100.8;6.8;99.3;3;101.6;8.8
2015;7;WZ08-563;Bars & Clubs;101.7;-2.1;101.2;0.2;101.9;-2.7
2015;8;WZ08-55;Beherbergung;104.1;1.6;103.3;-0.6;105;4.3
2015;8;WZ08-551;Hotels;103.5;1.8;103.1;-0.6;104.1;4.9
2015;8;WZ08-552;Ferienunterkünfte;108.1;-0.4;105.8;1.8;109.7;-2.2
2015;8;WZ08-553;Campingplätze;128.9;1.3;120.4;-3.8;136;5.2
2015;8;WZ08-56;Gastronomie;103.8;2.9;103.7;2.3;103.8;3.1
2015;8;WZ08-561;Restaurants & Cafes;104.4;2.5;104.6;1.9;104.3;2.9
2015;8;WZ08-562;Caterer;101.3;6;99.3;3;102.3;7.5
2015;8;WZ08-563;Bars & Clubs;104;-0.7;106.6;1.9;103.3;-1.3
2015;9;WZ08-55;Beherbergung;103.9;1.5;103.8;-0.5;103.9;3.8
2015;9;WZ08-551;Hotels;103.6;1.7;103.7;-0.4;103.5;4.4
2015;9;WZ08-552;Ferienunterkünfte;105.2;-2.5;104.9;-0.9;105.4;-3.9
2015;9;WZ08-553;Campingplätze;118.5;3.1;116.7;-0.9;120;7
2015;9;WZ08-56;Gastronomie;103.5;2.4;104.5;1.3;103;2.9
2015;9;WZ08-561;Restaurants & Cafes;103.8;2.1;105;1;103.2;2.7
2015;9;WZ08-562;Caterer;102.3;5.1;101.1;3.4;103;6.2
2015;9;WZ08-563;Bars & Clubs;103.4;-0.6;109.5;-0.5;101.7;-0.7
2015;10;WZ08-55;Beherbergung;102.3;0.7;102.6;-0.1;101.8;1.6
2015;10;WZ08-551;Hotels;102.2;0.7;102.5;-0.3;101.8;1.9
2015;10;WZ08-552;Ferienunterkünfte;103.2;-1.3;105;2.7;102;-4.1
2015;10;WZ08-553;Campingplätze;101.7;1.8;103.3;-0.6;100.3;4.4
2015;10;WZ08-56;Gastronomie;101.7;1.8;103.5;1.9;100.9;1.9
2015;10;WZ08-561;Restaurants & Cafes;101.8;1.8;103.5;1.7;100.9;2
2015;10;WZ08-562;Caterer;101.8;3.5;101.6;3.1;101.9;3.7
2015;10;WZ08-563;Bars & Clubs;101.4;-0.7;107.8;-0.2;99.6;-0.9
2015;11;WZ08-55;Beherbergung;99.2;0.9;99.8;0.2;98.5;2
2015;11;WZ08-551;Hotels;99.7;1.2;100;0.1;99.2;2.5
2015;11;WZ08-552;Ferienunterkünfte;96;-1.7;98.7;1.3;94.1;-4.1
2015;11;WZ08-553;Campingplätze;82.1;2.9;84.8;1.7;79.7;4.3
2015;11;WZ08-56;Gastronomie;99.5;1.4;99.9;2.3;99.3;1
2015;11;WZ08-561;Restaurants & Cafes;99.3;1.3;99.8;2.3;99.1;0.9
2015;11;WZ08-562;Caterer;101.4;3;101.4;2.9;101.4;3.2
2015;11;WZ08-563;Bars & Clubs;97.5;-0.6;97.7;2;97.4;-1.3
2015;12;WZ08-55;Beherbergung;99.2;2;99.2;0.7;99.1;3.2
2015;12;WZ08-551;Hotels;99.7;1.8;99.5;0.7;99.9;3.3
2015;12;WZ08-552;Ferienunterkünfte;95.2;1;96.6;1.2;94.2;0.7
2015;12;WZ08-553;Campingplätze;77.1;6.3;78.7;2.1;75.8;11.1
2015;12;WZ08-56;Gastronomie;99.3;1.3;98.9;1.7;99.5;1
2015;12;WZ08-561;Restaurants & Cafes;98.9;0.9;98.5;1.2;99.1;0.8
2015;12;WZ08-562;Caterer;100.8;2.9;101.4;3;100.5;2.6
2015;12;WZ08-563;Bars & Clubs;99.3;0.8;96.1;2.1;100.2;0.4
2016;1;WZ08-55;Beherbergung;94.8;0.3;96;0.5;93.3;
2016;1;WZ08-551;Hotels;95.5;0.6;96.4;0.5;94.4;0.6
2016;1;WZ08-552;Ferienunterkünfte;88.6;-4.2;93.8;1.2;85.4;-7.5
2016;1;WZ08-553;Campingplätze;74.9;5;75.3;0.8;74.6;8.9
2016;1;WZ08-56;Gastronomie;94.7;1.6;96;2.8;94.1;1
2016;1;WZ08-561;Restaurants & Cafes;94;1.8;95;3.1;93.4;1.1
2016;1;WZ08-562;Caterer;97.4;1.7;101.4;2.8;95.3;1
2016;1;WZ08-563;Bars & Clubs;94.8;0.1;91.7;-0.9;95.7;0.4
2016;2;WZ08-55;Beherbergung;95.3;1.1;96.6;1.7;93.9;0.5
2016;2;WZ08-551;Hotels;96.1;1.5;96.9;1.7;95.2;1.3
2016;2;WZ08-552;Ferienunterkünfte;88.5;-4.1;94.2;0.4;84.8;-7.1
2016;2;WZ08-553;Campingplätze;75.4;3.7;77.4;0.8;73.6;6.4
2016;2;WZ08-56;Gastronomie;95.1;0.7;96.1;2.2;94.5;
2016;2;WZ08-561;Restaurants & Cafes;94.5;1.3;95.3;2.6;94;0.5
2016;2;WZ08-562;Caterer;97.7;-0.4;101;2.1;96;-1.7
2016;2;WZ08-563;Bars & Clubs;94.4;-0.3;90.7;-1.4;95.5;0.1
2016;3;WZ08-55;Beherbergung;97.8;1.7;98.7;1.6;96.7;1.7
2016;3;WZ08-551;Hotels;98.1;1.8;98.7;1.5;97.3;2
2016;3;WZ08-552;Ferienunterkünfte;95.1;;98.6;3.2;92.8;-2.1
2016;3;WZ08-553;Campingplätze;91.1;9.8;97.2;8.4;85.6;10.6
2016;3;WZ08-56;Gastronomie;97.6;0.9;99;2.5;96.8;0.1
2016;3;WZ08-561;Restaurants & Cafes;97.2;0.8;98.5;2.4;96.6;0.1
2016;3;WZ08-562;Caterer;98.9;0.6;102.4;3.5;97.1;-0.8
2016;3;WZ08-563;Bars & Clubs;97.1;1.4;94.3;-0.5;97.9;1.9
2016;4;WZ08-55;Beherbergung;99.7;0.7;100.2;0.8;99;0.5
2016;4;WZ08-551;Hotels;99.5;0.6;99.9;0.5;98.9;0.6
2016;4;WZ08-552;Ferienunterkünfte;99.9;0.4;102;4.6;98.4;-2.4
2016;4;WZ08-553;Campingplätze;109.2;7.2;113.5;7.6;105.5;6.7
2016;4;WZ08-56;Gastronomie;99.6;-0.1;101.1;2;98.8;-1.1
2016;4;WZ08-561;Restaurants & Cafes;99.3;-0.5;100.9;1.9;98.4;-1.9
2016;4;WZ08-562;Caterer;99.7;0.8;102.7;3;98.2;-0.3
2016;4;WZ08-563;Bars & Clubs;101.3;1.2;98.4;-0.7;102.2;1.9
2016;5;WZ08-55;Beherbergung;101.8;;101.1;0.1;102.7;-0.1
2016;5;WZ08-551;Hotels;101.3;-0.3;100.6;-0.3;102.2;-0.4
2016;5;WZ08-552;Ferienunterkünfte;103.6;0.9;104.4;3.4;102.9;-1
2016;5;WZ08-553;Campingplätze;120.2;6.6;120.7;7.4;119.9;6
2016;5;WZ08-56;Gastronomie;102;;102.5;1;101.7;-0.5
2016;5;WZ08-561;Restaurants & Cafes;102.2;;102.5;0.5;102;-0.3
2016;5;WZ08-562;Caterer;100.6;0.1;102.9;3.2;99.4;-1.6
2016;5;WZ08-563;Bars & Clubs;102.9;-0.2;101.6;-0.1;103.3;-0.2
2016;6;WZ08-55;Beherbergung;103.2;0.6;101.9;0.4;104.7;0.7
2016;6;WZ08-551;Hotels;102.6;0.3;101.3;;104.4;0.8
2016;6;WZ08-552;Ferienunterkünfte;105;1;106;2.5;104.1;-0.4
2016;6;WZ08-553;Campingplätze;124.7;3.7;124.9;7.6;124.5;0.7
2016;6;WZ08-56;Gastronomie;102.5;-0.5;102.1;;102.8;-0.6
2016;6;WZ08-561;Restaurants & Cafes;103.1;-0.5;102.3;-0.4;103.5;-0.5
2016;6;WZ08-562;Caterer;100.6;0.5;102.9;2.7;99.5;-0.5
2016;6;WZ08-563;Bars & Clubs;102.1;-2.1;98;-3;103.2;-1.9
2016;7;WZ08-55;Beherbergung;104.1;1.1;102.6;0.9;105.9;1.1
2016;7;WZ08-551;Hotels;103.2;0.8;101.8;0.5;105;1.1
2016;7;WZ08-552;Ferienunterkünfte;108.3;1.9;108.8;3.4;107.8;0.7
2016;7;WZ08-553;Campingplätze;135;3.9;131.2;8.6;138.5;0.7
2016;7;WZ08-56;Gastronomie;103.3;;103.1;0.4;103.4;-0.2
2016;7;WZ08-561;Restaurants & Cafes;104;-0.3;103.5;-0.3;104.2;-0.3
2016;7;WZ08-562;Caterer;100.4;-0.4;103.7;4.4;98.7;-2.9
2016;7;WZ08-563;Bars & Clubs;103.8;2.1;97.1;-4.1;105.6;3.6
2016;8;WZ08-55;Beherbergung;104.8;0.7;103.7;0.4;106.2;1.1
2016;8;WZ08-551;Hotels;104.1;0.6;103;-0.1;105.5;1.3
2016;8;WZ08-552;Ferienunterkünfte;108;-0.1;109.1;3.1;107.2;-2.3
2016;8;WZ08-553;Campingplätze;134.4;4.3;130.7;8.6;137.7;1.3
2016;8;WZ08-56;Gastronomie;103;-0.8;104.1;0.4;102.5;-1.3
2016;8;WZ08-561;Restaurants & Cafes;103.8;-0.6;104.5;-0.1;103.5;-0.8
2016;8;WZ08-562;Caterer;100.1;-1.2;104;4.7;98.1;-4.1
2016;8;WZ08-563;Bars & Clubs;102.6;-1.3;99.9;-6.3;103.4;0.1
2016;9;WZ08-55;Beherbergung;104.5;0.6;103.8;;105.2;1.3
2016;9;WZ08-551;Hotels;103.9;0.3;103.3;-0.4;104.6;1.1
2016;9;WZ08-552;Ferienunterkünfte;106.8;1.5;107.6;2.6;106.1;0.7
2016;9;WZ08-553;Campingplätze;127.6;7.7;123.9;6.2;131;9.2
2016;9;WZ08-56;Gastronomie;103.3;-0.2;104.7;0.2;102.6;-0.4
2016;9;WZ08-561;Restaurants & Cafes;103.5;-0.3;104.5;-0.5;103;-0.2
2016;9;WZ08-562;Caterer;102.4;0.1;104.7;3.6;101.3;-1.7
2016;9;WZ08-563;Bars & Clubs;103.2;-0.2;107.3;-2;102;0.3
2016;10;WZ08-55;Beherbergung;103.2;0.9;103.2;0.6;103.2;1.4
2016;10;WZ08-551;Hotels;103.1;0.9;102.9;0.4;103.3;1.5
2016;10;WZ08-552;Ferienunterkünfte;102.5;-0.7;105.3;0.3;100.7;-1.3
2016;10;WZ08-553;Campingplätze;111.7;9.8;115.2;11.5;108.5;8.2
2016;10;WZ08-56;Gastronomie;101.8;0.1;103.7;0.2;100.8;-0.1
2016;10;WZ08-561;Restaurants & Cafes;101.8;;103.3;-0.2;101;0.1
2016;10;WZ08-562;Caterer;102;0.2;104.7;3.1;100.6;-1.3
2016;10;WZ08-563;Bars & Clubs;101.4;;105.5;-2.1;100.3;0.7
2016;11;WZ08-55;Beherbergung;100.7;1.5;100.9;1.1;100.5;2
2016;11;WZ08-551;Hotels;101.2;1.5;101.1;1.1;101.3;2.1
2016;11;WZ08-552;Ferienunterkünfte;97;1;99.6;0.9;95.2;1.2
2016;11;WZ08-553;Campingplätze;89.5;9;92.8;9.4;86.6;8.7
2016;11;WZ08-56;Gastronomie;99;-0.5;99.9;;98.5;-0.8
2016;11;WZ08-561;Restaurants & Cafes;98.7;-0.6;99.1;-0.7;98.4;-0.7
2016;11;WZ08-562;Caterer;101.6;0.2;105.1;3.6;99.7;-1.7
2016;11;WZ08-563;Bars & Clubs;96.4;-1.1;93.7;-4.1;97.2;-0.2
2016;12;WZ08-55;Beherbergung;100.6;1.4;100;0.8;101.3;2.2
2016;12;WZ08-551;Hotels;101.4;1.7;100.2;0.7;102.8;2.9
2016;12;WZ08-552;Ferienunterkünfte;94.2;-1.1;98.4;1.9;91.5;-2.9
2016;12;WZ08-553;Campingplätze;81.2;5.3;85.5;8.6;77.4;2.1
2016;12;WZ08-56;Gastronomie;98.6;-0.7;99.3;0.4;98.2;-1.3
2016;12;WZ08-561;Restaurants & Cafes;97.8;-1.1;98.3;-0.2;97.5;-1.6
2016;12;WZ08-562;Caterer;102.2;1.4;105.4;3.9;100.6;0.1
2016;12;WZ08-563;Bars & Clubs;97.7;-1.6;93.1;-3.1;99;-1.2
2017;1;WZ08-55;Beherbergung;97.8;3.2;97.5;1.6;98.2;5.3
2017;1;WZ08-551;Hotels;98.7;3.4;97.8;1.5;99.8;5.7
2017;1;WZ08-552;Ferienunterkünfte;88.8;0.2;93.5;-0.3;85.7;0.4
2017;1;WZ08-553;Campingplätze;83.4;11.3;82.8;10;83.9;12.5
2017;1;WZ08-56;Gastronomie;96;1.4;97.1;1.1;95.4;1.4
2017;1;WZ08-561;Restaurants & Cafes;95;1.1;95.3;0.3;94.9;1.6
2017;1;WZ08-562;Caterer;100.1;2.8;105.1;3.6;97.5;2.3
2017;1;WZ08-563;Bars & Clubs;94.6;-0.2;93.8;2.3;94.8;-0.9
2017;2;WZ08-55;Beherbergung;97.8;2.6;97.3;0.7;98.5;4.9
2017;2;WZ08-551;Hotels;98.7;2.7;97.6;0.7;100.1;5.1
2017;2;WZ08-552;Ferienunterkünfte;88.9;0.5;93.5;-0.7;85.9;1.3
2017;2;WZ08-553;Campingplätze;83.8;11.1;83.8;8.3;83.8;13.9
2017;2;WZ08-56;Gastronomie;96.7;1.7;97.4;1.4;96.4;2
2017;2;WZ08-561;Restaurants & Cafes;95.9;1.5;95.8;0.5;96;2.1
2017;2;WZ08-562;Caterer;100.7;3.1;104.9;3.9;98.5;2.6
2017;2;WZ08-563;Bars & Clubs;94.8;0.4;93.1;2.6;95.3;-0.2
2017;3;WZ08-55;Beherbergung;99.5;1.7;98.5;-0.2;100.7;4.1
2017;3;WZ08-551;Hotels;100;1.9;98.6;-0.1;101.9;4.7
2017;3;WZ08-552;Ferienunterkünfte;93.1;-2.1;95.6;-3;91.4;-1.5
2017;3;WZ08-553;Campingplätze;92;1;97.2;;87.6;2.3
2017;3;WZ08-56;Gastronomie;99.1;1.5;100.1;1.1;98.6;1.9
2017;3;WZ08-561;Restaurants & Cafes;98.8;1.6;99.2;0.7;98.7;2.2
2017;3;WZ08-562;Caterer;101.6;2.7;105.9;3.4;99.4;2.4
2017;3;WZ08-563;Bars & Clubs;96.2;-0.9;93.6;-0.7;96.9;-1
2017;4;WZ08-55;Beherbergung;101.8;2.1;100.4;0.2;103.5;4.5
2017;4;WZ08-551;Hotels;101.7;2.2;100.2;0.3;103.7;4.9
2017;4;WZ08-552;Ferienunterkünfte;98.7;-1.2;98.9;-3;98.4;
2017;4;WZ08-553;Campingplätze;115;5.3;115.3;1.6;114.7;8.7
2017;4;WZ08-56;Gastronomie;102.1;2.5;102.8;1.7;101.8;3
2017;4;WZ08-561;Restaurants & Cafes;102.5;3.2;102.5;1.6;102.4;4.1
2017;4;WZ08-562;Caterer;102.3;2.6;105.5;2.7;100.6;2.4
2017;4;WZ08-563;Bars & Clubs;99.4;-1.9;97.7;-0.7;99.9;-2.3
2017;5;WZ08-55;Beherbergung;103.7;1.9;101.3;0.2;106.6;3.8
2017;5;WZ08-551;Hotels;103.5;2.2;100.9;0.3;106.7;4.4
2017;5;WZ08-552;Ferienunterkünfte;101.1;-2.4;100.6;-3.6;101.1;-1.7
2017;5;WZ08-553;Campingplätze;124.8;3.8;125.3;3.8;124.4;3.8
2017;5;WZ08-56;Gastronomie;103.9;1.9;103.6;1.1;104;2.3
2017;5;WZ08-561;Restaurants & Cafes;104.5;2.3;103.7;1.2;104.9;2.8
2017;5;WZ08-562;Caterer;103.4;2.8;105;2;102.6;3.2
2017;5;WZ08-563;Bars & Clubs;100.8;-2;99.4;-2.2;101.2;-2
2017;6;WZ08-55;Beherbergung;105.1;1.8;102.1;0.2;108.7;3.8
2017;6;WZ08-551;Hotels;104.5;1.9;101.6;0.3;108.2;3.6
2017;6;WZ08-552;Ferienunterkünfte;104.9;-0.1;102;-3.8;106.5;2.3
2017;6;WZ08-553;Campingplätze;137.1;9.9;131.6;5.4;141.9;14
2017;6;WZ08-56;Gastronomie;105.4;2.8;104.2;2.1;105.9;3
2017;6;WZ08-561;Restaurants & Cafes;106.1;2.9;104.4;2.1;107;3.4
